Restaurant_name,Location,Average_rating,delivery_vs_dine_in_preference,Popular_cuisines,Open_day,Closed_day,Honest_review,overall_review,Links,operational_hours
"castle's barbeque","outer circle, connaught place, new delhi",4,"{'delivery_rating': 4.099999904632568, 'dine_in_rating': 4.0, 'preference': 'Delivery'}","chicken momo, murgh malai tikka, matar paneer, dahi ke kebab, buffet, starter",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/castles-barbeque-connaught-place-new-delhi,5
"sana - di - ge","malcha marg market , new delhi",4.6,"{'delivery_rating': 4.400000095367432, 'dine_in_rating': 4.8, 'preference': 'Dine-in'}","mushroom varuval, watermelon bramble, drumstick soup, mangalorean mutton curry, sambharam, kerala prawn curry",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 2, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/sana-di-ge-chanakyapuri-new-delhi,11
mamagoto,"khan market, new delhi",4.2,"{'delivery_rating': 4.099999904632568, 'dine_in_rating': 4.4, 'preference': 'Dine-in'}","hot basil chicken cup, basil cups, spicy ramen bowl, cucumber mocktail, caramel sponge cake, rock shrimp tempura",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/mamagoto-khan-market-new-delhi,11
"the w restaurant","outer circle, connaught place, new delhi",2.2,"{'delivery_rating': 0.0, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}","1,500 for two people (approx.) without alcohol",Mon,Sun,"{'overall_sentiment': 'Neutral', 'positive_reviews_count': 2, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Neutral,https://www.zomato.com/ncr/the-w-restaurant-connaught-place-new-delhi,13
"delia my bar headquarters","karol bagh, new delhi",2,"{'delivery_rating': 0.0, 'dine_in_rating': 4.0, 'preference': 'Dine-in'}","1,600 for two people (approx.) with alcohol",Mon,Thu,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 2, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/delia-my-bar-headquarters-karol-bagh-new-delhi,12
local,"connaught place, new delhi",2.1,"{'delivery_rating': 0.0, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}","cilantro burger, super food salad, mumbaiya vada pav, gol gappe shots, coffee caramel shake, fish and chips",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/local-connaught-place-new-delhi,13
"kaffa - the hans","the hans, connaught place, new delhi",2,"{'delivery_rating': 0.0, 'dine_in_rating': 4.0, 'preference': 'Dine-in'}","comfortable seating area, ambience, service, food",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/kaffa-the-hans-connaught-place-new-delhi,24
"zing - the metropolitan hotel & spa","the metropolitan hotel & spa, connaught place, new delhi",2,"{'delivery_rating': 0.0, 'dine_in_rating': 3.9, 'preference': 'Dine-in'}","romantic dining, worth the price, breakfast, great service, great place, ambiance",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/zing-the-metropolitan-hotel-spa-connaught-place-new-delhi,24
dasaprakash,"middle circle, connaught place, new delhi",4.3,"{'delivery_rating': 4.300000190734863, 'dine_in_rating': 4.3, 'preference': 'Delivery'}","service is great, generous portions, reasonable rate, decoration, food service, food quantity",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/dasaprakash-1-connaught-place-new-delhi,15
"the imperial spice","connaught place, new delhi",4.3,"{'delivery_rating': 4.199999809265137, 'dine_in_rating': 4.4, 'preference': 'Dine-in'}","lamb curry, masala papad, manchow soup, mocktails, malai kofta, fish tikka",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 2, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/theimperialspice,12
"mashaallah chicken corner","paharganj, new delhi",3.8,"{'delivery_rating': 4.0, 'dine_in_rating': 3.7, 'preference': 'Delivery'}","family crowd, student crowd, young crowd, customizable food, cute packaging, elaborate menu",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 2, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/mashaallah-chicken-corner-1-paharganj-new-delhi,24
"indian accent","the lodhi, lodhi road, new delhi",2.4,"{'delivery_rating': 0.0, 'dine_in_rating': 4.9, 'preference': 'Dine-in'}","sweet corn shorba, mushroom kulcha, wine cellar, doda barfi, butter chicken kulcha, chur chur parantha",Mon,Sun,"{'overall_sentiment': 'Neutral', 'positive_reviews_count': 1, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Neutral,https://www.zomato.com/ncr/indian-accent-lodhi-road-new-delhi,14
"cafe de flora","chanakyapuri, new delhi",1.9,"{'delivery_rating': 0.0, 'dine_in_rating': 3.8, 'preference': 'Dine-in'}","hot chocolate, cheesecake, pasta, drinks, pizza",Mon,Sun,"{'overall_sentiment': 'Neutral', 'positive_reviews_count': 2, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Neutral,https://www.zomato.com/ncr/cafe-de-flora-chanakyapuri-new-delhi,22
"the square meal","paharganj, new delhi",1.6,"{'delivery_rating': 0.0, 'dine_in_rating': 3.3, 'preference': 'Dine-in'}","500 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 0, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/the-square-meal-paharganj-new-delhi,24
"sam's cafe","paharganj, new delhi",1.4,"{'delivery_rating': 0.0, 'dine_in_rating': 2.9, 'preference': 'Dine-in'}","lamb tikka, falafel platter, sizzlers, lasagna, beers, grilled chicken",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/sams-cafe-paharganj-new-delhi,24
24seven,"east patel nagar, new delhi",3.5,"{'delivery_rating': 4.0, 'dine_in_rating': 3.0, 'preference': 'Delivery'}","300 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/24seven-east-patel-nagar-new-delhi,24
"nanda vaishno dhaba","paharganj, new delhi",1.6,"{'delivery_rating': 0.0, 'dine_in_rating': 3.1, 'preference': 'Dine-in'}","300 for two people (approx.)",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/nanda-vaishno-dhaba-paharganj-new-delhi,24
"cafe delhi heights","janpath, new delhi",4.3,"{'delivery_rating': 4.300000190734863, 'dine_in_rating': 4.3, 'preference': 'Delivery'}","pasta al forno, delhi burger, roasted peanuts, potato wedges, oreo shake, nachos",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 2, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/cafe-delhi-heights-janpath-new-delhi,12
"w va bien","rajinder nagar, new delhi",2,"{'delivery_rating': 0.0, 'dine_in_rating': 4.0, 'preference': 'Dine-in'}","chicken tikka pizza, mutton rogan josh, cocktails, pasta, pizza, chicken",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 2, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/w-va-bien-rajinder-nagar-new-delhi,12
tamasha,"connaught place, new delhi",4,"{'delivery_rating': 3.700000047683716, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}","apple mint mojito, choco mousse, fish and chips, liit cocktail, chettinad chicken, classic pepperoni pizza",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 0, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/tamasha-connaught-place-new-delhi,12
"the big chill","the colonnade, connaught place, new delhi",2.2,"{'delivery_rating': 0.0, 'dine_in_rating': 4.5, 'preference': 'Dine-in'}","mississippi mudpie, penne vodka pasta, piri piri pizza, spaghetti bolognese, chocolate decadence, chocolate ganache",Mon,Sun,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,https://www.zomato.com/ncr/the-big-chill-3-connaught-place-new-delhi,11
gulati,"pandara market, new delhi",4.4,"{'delivery_rating': 4.300000190734863, 'dine_in_rating': 4.5, 'preference': 'Dine-in'}","paneer gilafi, neza kebab, punjabi malai kofta, shahi veg platter, methi paneer, handi gosht",Mon,Sun,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 2, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,https://www.zomato.com/ncr/gulati-pandara-road-new-delhi,12
