,restaurant_name,dine_rating,delivery_rating_f,location,average_pricing,popular_cuisine,open_time,closed_time_f,operational_hours,operational_days,open_days_f,last_open_day,reviews,url,sentiment_analysis,overall_review,delivery_vs_dine_in_preference,average_rating
10,Yellow Brick Road - Ambassador,4.1,0.0,"Taj Ambassador, Khan Market, New Delhi",4000,"Ybr Chicken, Railway Cutlets, Banana Split, Club Sandwich, Thai Green Curry, Hot Coffee",00:00,23:59,23.98,7,Mon,Sun,"['It was a wonderful experience. Everything served was delicious and hospitality of Taj is unmatched ♥️', 'Dishes I liked- fish n chips, mustard cottage cheese steak, keema pav, veg cutlet. Average- pav bhaji. Can give it a miss. Courteous staff. Peaceful environment. Indoor n outdoor available.', 'I found the Yellow Brick Road a very classic and cozy place and the pleasant ambiance take us to the better times in early eighties , the food Is made with caution and is served in a good manner , I may try their Sunday brunch next and will chose a table outside their small backyard.']",https://www.zomato.com/ncr/yellow-brick-road-ambassador-khan-market-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 0.0, 'dine_in_rating': 4.1, 'preference': 'Dine-in'}",2.05
11,The Arthouse Restaurant,3.9,3.6,"Connaught Place, New Delhi",2000,"Fettuccine Pasta, Red Wine Sangria, Peri Peri Pizza, Smoothies, Coffees, Khichdi",00:00,23:59,23.98,7,Mon,Sun,"['There was no tissue, ketchup, oregano etc at the table, forks, spoon. We had to ask for everything. The food portion was very less. The had a bitter taste. Washroom up in the store room and it was dirty. Toilet papers were kept outside the washroom. Delayed service.', 'Considering the prime location, this place was rather disappointing. Food was average, but the washroom was pathetic.', 'so I noticed that the spoon and plate served had food stains and was not properly cleaned', 'Its very good food .mr amit is a very good server.']",https://www.zomato.com/ncr/the-arthouse-restaurant-connaught-place-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 3.5999999046325684, 'dine_in_rating': 3.9, 'preference': 'Dine-in'}",3.7499999523162844
12,Cé La Vie Kitchen & Bar,4.2,0.0,"Middle Circle, Connaught Place, New Delhi",2200,"Great Food, Value for Money, Food Quality, Packaging",12noon,1am,13.0,7,Mon,Sun,"['Prem Kumar - Food was good, and service also!', 'It was a great service by sanam', 'Good service by sunil kumar! Great food and ambience', 'Great food and ambience. Good service by Vishu', 'Had an excellent experience. Very calming ambience, amazing food and exceptional service. Vishu was very professional and provided us with a quick and efficient experience. Especially loved the butter garlic prawns! Will definitely visit again']",https://www.zomato.com/ncr/c%C3%A9-la-vie-kitchen-bar-connaught-place-new-delhi,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 1, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,"{'delivery_rating': 0.0, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}",2.1
13,Yeti - The Himalayan Kitchen,4.2,4.2,"The Colonnade, Connaught Place, New Delhi",2500,"Wai Wai Bhel, Ema Datchi, Spicy Broth, Thukpa Noodles, Tingmo, Thali Options",12noon,11pm,11.0,7,Mon,Sun,"['service from pradeep is awesome', 'the momo had rotten taste coming from inside probably because of the stale chicken', 'Pradeep was helpful and kind', The dumplings taste really good but it's a bit too oily.""""""",https://www.zomato.com/ncr/yeti-the-himalayan-kitchen-connaught-place-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 4.199999809265137, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}",4.199999904632568
14,Veda,3.7,3.5,"Connaught Place, New Delhi",2900,"Cinnamon Mojito, Crispy Bhindi, Paneer Kundan, Gujarati Thali, Chicken Shahi Korma, Dum Aloo",12noon,12midnight,12.0,7,Mon,Sun,"['I could not try other dishes since i was running out of time but overall the food was great, so was the service. although there was a delay but thanks to Ajay who managed it well.\n\nI must add that the washrooms were not properly cleaned and were non hygienic. That ruined the experience in the end.', 'food was great! so was the service, thanks to Ajay who e. i was running short of time or else would’ve tried other dishes.', 'Good food', 'A good family restaurant that offers great food and warm atmosphere. The staff is very polite and courteous. Wide range of food delicacies are available to choose from.\nPersonally loved their dal makhani and chilli paneer Must try! ❤️', 'One thing i want to attract attention to is after we were done with food, waiter brought the bill & asked us to pay him personally and said he can remove service charge from bill. After he removed approx 1300 service charge and asked us 600 personally. Dont know what scam is going on']",https://www.zomato.com/ncr/veda-connaught-place-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 3.5, 'dine_in_rating': 3.7, 'preference': 'Dine-in'}",3.6
15,Plum Coffee and Cocktails,4.1,0.0,"Connaught Place, New Delhi",2000,"₹2,000 for two people (approx.) Without alcohol",11am,1am,14.0,7,Mon,Mon,"['Ambience is great with live music. Ask for Vishwajeet, he is fantastic', 'vikas good service', 'Vineet was a surely very good host', 'Vibe is good!', Ambience will give you European feel""",https://www.zomato.com/ncr/plum-coffee-and-cocktails-connaught-place-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 0.0, 'dine_in_rating': 4.1, 'preference': 'Dine-in'}",2.05
16,Capital Diner,4.2,4.0,"Connaught Place, New Delhi",600,₹600 for two people (approx.),12midnight,10,10.0,7,Mon,Sun,"[A perfect place near the railway station for delicious and fresh food.\n\nThe location is just perfect as it's very near to the near railway station.\n\nThey have lot of options in food and drinks and every dish is delicious.""""""",https://www.zomato.com/ncr/capital-diner-connaught-place-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 4.0, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}",4.1
17,Connaught Club House,4.3,4.2,"Janpath, New Delhi",3000,"Craft Beer, Brewed Beer, Changezi Chicken, Veg Dimsums, Tiramisu, Chicken Tikka Pizza",12noon,1am,13.0,7,Mon,Sun,"['Great Fresh beer and food.', 'You Feel like sitting in an office canteen with guys all around .. kills the vibe !', 'Thanks Ranjit for amazing experience', 'Excellent experience', 'not recommended']",https://www.zomato.com/ncr/connaught-club-house-janpath-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 4.199999809265137, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}",4.249999904632569
18,The Immigrant Cafe,4.1,3.8,"Middle Circle, Connaught Place, New Delhi",2500,"Veg Gourmet Pizza, Liit Cocktail, Meat Platter, Masala Chai, Tandoori Platter, Nachos",12noon,12midnight,12.0,7,Mon,Sun,"['The basil pesto paata is to die for. Heavily recommended. Vijay Sir was really nice and ensured everything was taken care of.', 'food was yum plus the ambience was beautiful ✨', 'the food was excellent and vijay was very friendly and served us well.', 'Sonam was a good host']",https://www.zomato.com/ncr/the-immigrant-cafe-1-connaught-place-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 3.799999952316284, 'dine_in_rating': 4.1, 'preference': 'Dine-in'}",3.949999976158142
19,Ministry Of Beer,4.3,0.0,"Connaught Place, New Delhi",2800,"Hefeweizen, Paneer Khatta Pyaz, Lamb Pasta, Potato Fritters, Fruit Punch Mocktail, Gosht Rogan Josh",12noon,1am,13.0,7,Mon,Sun,"['Good service Alam', 'It was decent ambience and the care taken by Mr Kali was outstanding in addressing the customer needs really overwhelming. Appreciate his efforts and dignity.', 'chandan is best in service', 'Kali was the best', 'kali was an awesome host and was very humble .']",https://www.zomato.com/ncr/ministry-of-beer-connaught-place-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 0.0, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}",2.15
20,Anglow,4.2,3.6,"Khan Market, New Delhi",2500,"Mutton Railway Curry, Bread Pudding, Lamb Curry, Wasabi Prawns, Shami Kebabs, Chocolate Pudding",11am,12midnight,13.0,7,Mon,Sun,"['singra was amazing... thank you for your service', 'I recently had the pleasure of dining at Anglo, and I must say, Mr. Kaustubh Kukreti has been a standout in making my experience exceptional. His warm hospitality and attentive service have truly set Anglo apart as our go-to restaurant.\n\nMr. Kukreti’s dedication to ensuring each guest feels welcomed and valued is evident in every interaction. His knowledge of the menu, coupled with his genuine enthusiasm, makes each visit a delightful experience. It’s clear that he is a key reason why Anglo has become our favorite dining spot.\n\nThank you, Mr. Kukreti, for your outstanding service and for always going above and beyond to create such a memorable dining experience. We look forward to our...read more', 'We had a good experience for a Sunday lunch for a large group of 8', 'good food', 'very nice place in khan market, staff was really kind and sweet the one who served us was Renu']",https://www.zomato.com/ncr/anglow-khan-market-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 3.5999999046325684, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}",3.8999999523162843
21,Somewhere Restaurant & Bar,4.3,4.0,"Middle Circle, Connaught Place, New Delhi",2000,"Sushi, Cocktail, Dessert, Drinks",12noon,1am,13.0,7,Mon,Sun,"[Nandan was great and took care of us very well. Can't wait to revisit!""""""",https://www.zomato.com/ncr/somewhere-restaurant-bar-connaught-place-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 4.0, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}",4.15
22,Civil Lines Social,4.4,4.2,"Civil Lines, New Delhi",1500,"Amazing Service, Vibe, Server, Nice Service, Hospitality, Good Ambience",10am,1am,15.0,7,Mon,Sun,"['no taste garlic n pepper. tasteless . total waste of money.', 'Mutton was stale, smelling\nVery bad & poor food']",https://www.zomato.com/ncr/civil-lines-social-civil-lines-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 4.199999809265137, 'dine_in_rating': 4.4, 'preference': 'Dine-in'}",4.2999999046325685
23,Chido,4.3,0.0,"Connaught Place, New Delhi",2000,"Shisha, Mutton Seekh Kebab, Tandoori Platter, Cocktails, Dimsums, Drinks",12noon,1am,13.0,7,Mon,Sun,"['Food is really good but ambiance and vibe 👎', 'Good food. Drinks are decent.', 'Tres belle ambience. Le concept d’ assiettes a partager eat top. la nourriture est très savoureuse. L’ atmosphere est sympa. La decoration agreable et le personnel accueilant. ll faut attendre longtrmps entre les plats.', 'We were in seat which was too close to the live music. We requested the authorities to change our seat as we could not talk among ourselves. But denied to it, which made our experience bitter.', it was tooo expensive without any taste please guyz don't go there""""]""""",https://www.zomato.com/ncr/chido-connaught-place-new-delhi,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 0, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Negative,"{'delivery_rating': 0.0, 'dine_in_rating': 4.3, 'preference': 'Dine-in'}",2.15
24,Green Mantis - Authentic Pan Asian,4.6,4.2,"Khan Market, New Delhi",3200,"Sushi, Pan Fried Noodles, Dimsums, Dessert, Drinks",12noon,10,10.0,7,Mon,Sun,"[Had a very different experience here. We pre-booked through Zomato but when we reached at the scheduled time""",https://www.zomato.com/ncr/green-mantis-authentic-pan-asian-khan-market-new-delhi,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 2, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,"{'delivery_rating': 4.199999809265137, 'dine_in_rating': 4.6, 'preference': 'Dine-in'}",4.399999904632568
25,Fifty9 - Radisson Blu Marina,4.0,4.2,"Radisson Blu Marina Hotel, Connaught Place, New Delhi",3500,"Healthy Breakfast, Starters, Desserts, Tikka, Coffee, Drinks",00:00,23:59,23.98,7,Mon,Sun,"['It was nice experience especially thanks to Himani and Akriti attentive staff who elevated the dining experience to new heights. From the warm greeting at the door to the personalized recommendations, their hospitality was unparalleled. Despite the bustling morning rush, they ensured that every guest felt valued, embodying the essence of true hospitality.', 'service and food quality is pathetic', 'it was nice experience especially thanks to kanchan and Vijay for serving delicious food', 'No buffet just set meal available', 'Best dining experience!']",https://www.zomato.com/ncr/fifty9-radisson-blu-marina-connaught-place-new-delhi,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 2, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,"{'delivery_rating': 4.199999809265137, 'dine_in_rating': 4.0, 'preference': 'Delivery'}",4.099999904632568
26,Openhouse Cafe,4.2,0.0,"Connaught Place, New Delhi",2000,"Chipotle Pasta, Fresh Garden Pizza, Signature Pizza, Roasted Chicken Pizza, Murgh Malai, Choco Chip Shake",12noon,1am,13.0,7,Mon,Sun,"['I had a great experience. Ganesh offered great service', 'The food and service by Ganesh was great', 'Awesome service by Jayveer', 'Though it’s been a long time since we are coming here for dinner.\nBut today I loved my time that I spent here with my wife, superb food quality superb service by KAMAL NEGI.\nLoved the Sunday evening we spent.\nThank you KAMAL NEGI and OPEN HOUSE ❤️', 'kamal Negi was outstanding with his service']",https://www.zomato.com/ncr/openhouse-cafe-connaught-place-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 3, 'negative_reviews_count': 2, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 0.0, 'dine_in_rating': 4.2, 'preference': 'Dine-in'}",2.1
27,Wyld Courtyard,3.4,0.0,"Parliament Street, New Delhi",2000,"₹2,000 for two people (approx.)",8am,10pm,14.0,7,Mon,Sun,"['Very basic place. Breakfast was available but only basic buffet.', 'I wanted to leave the review empty just like the feeling of emptiness I had in life after going there. Dosa point is much better. Even the plain dosa', 'Extra service charges added and non cooperative staff. Food was okayish.', 'service is not good,food quality is very bad not taste in any food but starter is good chicken item and pannir item is very bad taste.hygine quality really trust me very bad experience.cahe kadhai chicken ho ya chicken butter masala very bad ..1 star v iss restaurant ko Dene ka mnn bhi h 7000 Ka bill tha bhai same on restaurant and his taste quality', 'The food and cold coffee was amazing. if you mention, they will adjust the coffee taste']",https://www.zomato.com/ncr/wyld-courtyard-parliament-street-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 5, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 0.0, 'dine_in_rating': 3.4, 'preference': 'Dine-in'}",1.7
28,Dhaba - Estd 1986 Delhi,4.4,3.9,"Middle Circle, Connaught Place, New Delhi",1400,"Katori Chaat, Paneer Makhan Masala, Balti Meat, Pudina Paratha, Achari Soya Chaap, Phirni",12noon,11,11.0,7,Mon,Sun,"['Hansraj ji is too good', 'Only the ambience is nice. Food quality and quantity, taste and plating nothing is good enough. Very Slow service.', 'Brilliant service bt Mr. Hansraj! Very pleased.', 'Gurdeep Singh was an amazing person who served us well. and was quite good.', 'Very good food, excellent service by hansraj']",https://www.zomato.com/ncr/dhaba-estd-1986-delhi-connaught-place-new-delhi,"{'overall_sentiment': 'Negative', 'positive_reviews_count': 2, 'negative_reviews_count': 3, 'neutral_reviews_count': 0}",Negative,"{'delivery_rating': 3.9000000953674316, 'dine_in_rating': 4.4, 'preference': 'Dine-in'}",4.150000047683716
29,Pind Balluchi,3.8,4.1,"Connaught Place, New Delhi",1600,"Paneer Fingers, Murgh Rara, Dhaba Mutton, Thandi Kheer, Pindi Choley, Mushroom Kurkure",12noon,11pm,11.0,7,Mon,Sun,"['100 very nice', 'staff was very cordial and friendly. Me Maan Singh specially.', 'Good Sarvice', 'good taste and hot food']",https://www.zomato.com/ncr/pind-balluchi-connaught-place-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 4.099999904632568, 'dine_in_rating': 3.8, 'preference': 'Delivery'}",3.949999952316284
30,Mister Chai - Shangri-La Eros New Delhi,4.0,0.0,"Shangri-La Eros, New Delhi",1600,"Aloo Samosa, Masala Tea, Hot Coffee, Chai, Cookies, Snacks",00:00,23:59,23.98,7,Mon,Sun,"['Anjali & Mercy gave amazing hospitality service. Chai was so yuuummm!', 'Mister Chai is a cosy open tea coffee lounge inside of Hotel SHANGRILA, Ashoka Road. Its nice hotel very well decorated for xmas and new year. We were looking for a tea coffee shop that is open 24*7 or around 4 am and mister chai popped up on google. The lounge is open but has a nice comfortable seating. Over the phone I was told that there is a cover charge of Rs 500 per person , which was very surprising for a tea coffee lounge. Their night menu is limited. No bakery items are available before 8 am. We took a kettle of cutting chai which serves 3-4 in very small cutting glasses. The tea was nice with good amount of ginger so much so that it had gone bitter. He made another small amount...read more', 'its great environment and service which was we got, especially thanks to siksha.', 'I had their kadak masala chai and felt puckish after having it. There was too much milk in it. You wouldn’t expect such kind of tea at a five star hotel at such a high price…\nWouldn’t want to go there again…', 'Everything is very good, ambience is awesome and perfect place to make formal meetings.\nStaff may be good but the day I went there .\nI feel very uncomfortable , the way the stalk and the overall their behaviour speaks something very uncomfortable I cannot explain this feeling']",https://www.zomato.com/ncr/mister-chai-shangri-la-eros-new-delhi-connaught-place-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 0, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 0.0, 'dine_in_rating': 4.0, 'preference': 'Dine-in'}",2.0
31,Miamo Diner,3.5,4.0,"Khan Market, New Delhi",1500,"₹1,500 for two people (approx.) Without alcohol",11am,11,11.0,7,Mon,Sun,"['the place is gorgeous and the service was really prompt! i loved the milkshakes. perfect place for brunch', 'very bad food.. the quality of bun in the burger was very cheap..ravioli had no salt in it.. chocolate shake was also horrible..', 'The food was very average. Veg farmhouse burger was bad. Jalapeño poppers hardly had any jalapeño.', 'had a good experience. Good food with fresh ingredients', 'Great food, amazing vibe.']",https://www.zomato.com/ncr/miamo-diner-khan-market-new-delhi,"{'overall_sentiment': 'Positive', 'positive_reviews_count': 4, 'negative_reviews_count': 1, 'neutral_reviews_count': 0}",Positive,"{'delivery_rating': 4.0, 'dine_in_rating': 3.5, 'preference': 'Delivery'}",3.75
